Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,3,29,22,5724,885,82,-9,0,1.87,1.87,1.81,,
2016,3,29,23,5258,782,73,39,0,-0.02,-0.02,-0.02,,
2016,3,29,24,4893,718,69,75,0,-0.8,-0.8,-0.77,,
2016,3,30,1,4694,690,63,88,0,-1.26,-1.26,-1.22,,
2016,3,30,2,4574,662,59,39,0,0,0,0,,
2016,3,30,3,4535,655,65,116,0,-0.25,-0.25,-0.24,,
2016,3,30,4,4589,699,65,95,0,-2.5,-2.5,-2.43,,
2016,3,30,5,4822,767,64,59,0,-0.52,-0.52,-0.51,,
2016,3,30,6,5400,887,77,-60,0,10.43,10.43,10.13,,
2016,3,30,7,5913,893,81,-133,0,14.89,14.89,14.46,,
2016,3,30,8,6071,849,85,124,0,0,0,0,,
2016,3,30,9,6072,803,84,148,0,-1.5,-1.5,-1.46,,
2016,3,30,10,6094,767,57,148,0,-1.25,-1.25,-1.21,,
2016,3,30,11,6087,747,70,135,0,0,0,0,,
2016,3,30,12,6035,726,67,160,0,-0.52,-0.52,-0.51,,
2016,3,30,13,6033,705,49,45,0,0.48,0.48,0.47,,
2016,3,30,14,5945,721,63,9,0,0,0,0,,
2016,3,30,15,5913,737,62,-6,0,2.53,2.53,2.45,,
2016,3,30,16,5958,807,74,-8,0,1.47,1.47,1.43,,
2016,3,30,17,5998,829,77,-50,0,0,0,0,,
2016,3,30,18,6007,867,78,56,0,-3,-3,-2.91,,
2016,3,30,19,6096,889,76,161,0,-2.75,-2.75,-2.67,,
2016,3,30,20,6230,912,79,110,0,-1.75,-1.75,-1.7,,
2016,3,30,21,6010,846,76,137,0,-2.5,-2.5,-2.43,,
2016,3,30,22,5552,721,66,159,0,-3.26,-3.26,-3.17,,
2016,3,30,23,5095,727,59,100,0,-4.59,-4.59,-4.46,,
2016,3,30,24,4710,604,53,152,0,-6,-6,-5.82,,
2016,3,31,1,4476,559,50,33,0,-3,-3,-2.91,,
2016,3,31,2,4331,564,51,-17,0,-53.84,-53.84,-52.27,,
2016,3,31,3,4286,556,66,-29,0,-5,-5,-4.85,,
2016,3,31,4,4327,552,92,-85,0,-3,-3,-2.91,,
2016,3,31,5,4569,591,90,-26,0,-2.25,-2.25,-2.18,,
2016,3,31,6,5107,722,95,-170,0,0,0,0,,
2016,3,31,7,5751,852,114,-112,0,0,0,0,,
2016,3,31,8,5964,885,119,-69,0,-0.75,-0.75,-0.73,,
2016,3,31,9,6089,885,115,55,0,-0.25,-0.25,-0.24,,
2016,3,31,10,6200,875,113,79,0,0,0,0,,
2016,3,31,11,6285,874,115,59,0,-2.75,-2.75,-2.67,,
2016,3,31,12,6284,849,115,-45,0,-1.83,-1.83,-1.78,,
2016,3,31,13,6279,849,106,-100,0,-0.77,-0.77,-0.75,,
2016,3,31,14,6194,825,114,-65,0,-2.04,-2.04,-1.98,,
2016,3,31,15,6137,825,118,-6,0,-1.1,-1.1,-1.07,,
2016,3,31,16,6149,845,121,19,0,0,0,0,,
2016,3,31,17,6091,882,118,27,0,0,0,0,,
2016,3,31,18,6071,876,116,80,0,0,0,0,,
2016,3,31,19,6158,891,119,145,0,0,0,0,,
2016,3,31,20,6165,879,131,-50,0,0,0,0,,
2016,3,31,21,5931,832,118,182,0,0,0,0,,
2016,3,31,22,5518,740,112,68,0,-1.29,-1.29,-1.25,,
2016,3,31,23,5053,650,103,35,0,-3,-3,-2.91,,
2016,3,31,24,4697,681,92,161,0,-3,-3,-2.91,,
2016,4,1,1,4479,628,97,215,0,-3,-3,-2.91,,
2016,4,1,2,4325,615,105,122,0,-3,-3,-2.91,,
2016,4,1,3,4296,622,103,154,0,-3,-3,-2.91,,
2016,4,1,4,4327,645,105,167,0,-3,-3,-2.91,,
2016,4,1,5,4538,674,103,164,0,-1.75,-1.75,-1.7,,
2016,4,1,6,5074,798,119,-31,0,12.05,12.05,11.7,,
