\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2020-02-28 08:01:10,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2020-01-20,9,20.11,16.90,5.83,17.34,18.62,19.53,19.15,20.11,19.91,20.11,19.91,19.53,20.11,19.72,20.11
2020-01-20,10,21.71,18.24,5.83,18.72,20.10,21.08,20.68,21.71,21.50,21.71,21.50,21.08,21.71,21.29,21.71
2020-01-20,11,19.46,16.36,15.95,16.78,18.02,18.90,18.54,19.46,19.27,19.46,19.27,18.90,19.46,19.09,19.46
2020-01-20,12,19.88,16.71,16.30,17.14,18.41,19.31,18.94,19.88,19.68,19.88,19.68,19.31,19.88,19.50,19.88
2020-01-20,13,16.72,14.05,13.70,14.41,15.48,16.23,15.92,16.72,16.55,16.72,16.55,16.23,16.72,16.39,16.72
2020-01-20,14,9.10,7.65,7.46,7.85,8.43,8.84,8.67,9.10,9.01,9.10,9.01,8.84,9.10,8.92,9.10
2020-01-20,15,6.38,5.36,5.23,5.50,5.91,6.19,6.08,6.38,6.32,6.38,6.32,6.19,6.38,6.25,6.38
2020-01-20,16,1.53,1.28,1.25,1.32,1.41,1.48,1.45,1.53,1.51,1.53,1.51,1.48,1.53,1.50,1.53
2020-01-20,17,2.98,2.50,2.00,2.57,2.76,2.89,2.84,2.98,2.95,2.98,2.95,2.89,2.98,2.92,2.98
2020-01-20,18,14.24,11.96,5.83,12.27,13.18,13.82,13.56,14.24,14.10,14.24,14.10,13.82,14.24,13.96,14.24
2020-01-20,19,11.51,9.67,5.63,9.92,10.66,11.18,10.97,11.51,11.40,11.51,11.40,11.18,11.51,11.29,11.51
2020-01-20,20,2.02,1.70,1.66,1.74,1.87,1.96,1.93,2.02,2.00,2.02,2.00,1.96,2.02,1.98,2.02
2020-01-20,21,7.92,6.65,4.58,6.82,7.33,7.68,7.54,7.92,7.84,7.92,7.84,7.68,7.92,7.76,7.92
2020-01-20,22,9.65,8.11,6.14,8.31,8.93,9.37,9.19,9.65,9.55,9.65,9.55,9.37,9.65,9.46,9.65
2020-01-20,23,11.18,9.40,6.00,9.64,10.35,10.85,10.65,11.18,11.07,11.18,11.07,10.85,11.18,10.96,11.18
2020-01-20,24,12.49,10.50,10.24,10.77,11.56,12.13,11.90,12.49,12.37,12.49,12.37,12.13,12.49,12.24,12.49
2020-01-21,1,12.54,10.54,10.28,10.81,11.61,12.18,11.95,12.54,12.42,12.54,12.42,12.18,12.54,12.30,12.54
2020-01-21,2,14.19,11.93,11.63,12.23,13.14,13.78,13.52,14.19,14.06,14.19,14.06,13.78,14.19,13.91,14.19
2020-01-21,3,13.65,11.47,11.19,11.77,12.64,13.25,13.00,13.65,13.51,13.65,13.51,13.25,13.65,13.38,13.65
2020-01-21,4,8.94,7.51,7.33,7.70,8.28,8.68,8.51,8.94,8.85,8.94,8.85,8.68,8.94,8.76,8.94
2020-01-21,5,1.40,1.18,1.15,1.21,1.30,1.36,1.34,1.40,1.39,1.40,1.39,1.36,1.40,1.38,1.40
2020-01-21,6,4.89,4.11,4.01,4.21,4.53,4.74,4.65,4.89,4.84,4.89,4.84,4.74,4.89,4.79,4.89
2020-01-21,7,10.62,8.92,8.71,9.16,9.83,10.31,10.12,10.62,10.52,10.62,10.52,10.31,10.62,10.41,10.62
2020-01-21,8,19.69,16.55,5.83,16.98,18.23,19.12,18.75,19.69,19.49,19.69,19.49,19.12,19.69,19.30,19.69
2020-01-21,9,16.73,14.06,5.83,14.42,15.49,16.24,15.94,16.73,16.57,16.73,16.57,16.24,16.73,16.40,16.73
2020-01-21,10,16.71,14.04,5.83,14.40,15.47,16.22,15.92,16.71,16.54,16.71,16.54,16.22,16.71,16.38,16.71
2020-01-21,11,21.13,17.76,5.83,18.22,19.56,20.52,20.13,21.13,20.92,21.13,20.92,20.52,21.13,20.72,21.13
2020-01-21,12,14.04,11.80,11.51,12.11,13.00,13.63,13.37,14.04,13.90,14.04,13.90,13.63,14.04,13.77,14.04
2020-01-21,13,13.05,10.97,10.70,11.25,12.08,12.67,12.43,13.05,12.92,13.05,12.92,12.67,13.05,12.80,13.05
2020-01-21,14,19.58,16.45,16.05,16.88,18.13,19.01,18.65,19.58,19.39,19.58,19.39,19.01,19.58,19.20,19.58
