Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2018,10,29,22,-0.617908032,-0.579205882,0.018526892,-0.385609681,-0.707064868,-0.596285343
2015,12,29,20,-0.502980566,-0.224926997,0.880624958,0.046959784,0.334695054,0.226797581
2015,3,13,6,-0.83892239,-1.194532366,-1.151463341,-1.25074861,0.375295964,-0.43695879
2017,11,9,6,-0.635589181,-0.439358954,0.572732791,-0.818179146,-0.503070054,-0.642120838
2016,5,7,22,0.08049734,0.315814458,0.634311225,2.101664742,-1.236857224,-0.681206226
2016,5,11,5,-0.273125633,-0.467328339,-0.720414308,-0.710036779,-0.902147287,-1.028614998
2015,9,30,14,0.761221564,0.381076358,-1.151463341,0.803956348,0.333704788,0.085226059
2014,2,12,22,-1.811385567,-1.716627564,0.326419058,-1.25074861,0.879341401,0.615622044
2013,3,5,18,-0.909646985,-0.821607224,0.203262191,-0.601894413,1.30713635,0.904736519
2018,1,26,5,-0.953849857,-0.868222867,0.203262191,-0.277467314,-0.707064868,-0.567327976
2017,3,3,18,-1.466603168,-2.06158332,-1.767247675,1.128383446,1.081355683,0.917396545
2019,3,7,8,-1.829066716,-1.809858849,0.018526892,-0.818179146,0.793188252,0.40599966
2016,11,29,15,0.434120314,0.427692,-0.166208408,-0.601894413,0.35351011,0.000972271
2018,7,16,20,1.247453152,1.686314353,1.188517124,-0.818179146,1.473501053,0.85760498
2019,11,20,17,-0.273125633,-0.20628074,0.080105325,-0.061182582,0.788236921,0.056180954
2015,6,17,6,0.743540415,0.418368872,-1.028306475,-0.818179146,-0.133700804,-0.61524725
2013,5,6,5,0.22194653,0.203936915,-0.166208408,-1.358890977,-1.126937688,-1.032053947
2018,3,16,15,-0.856603539,-1.436933708,-1.705669241,1.560952911,0.278249887,0.351987839
2016,11,7,8,-0.44993712,-0.141018841,1.003781825,-1.358890977,-0.092109629,-0.129117012
2018,5,27,19,1.167887983,1.248127312,0.080105325,-0.169324948,0.577310245,0.539241791
2014,2,15,9,-1.360516276,-1.250471137,0.326419058,0.587671615,0.160408223,0.671547413
2016,4,27,8,-0.379212525,-0.644467782,-0.905149608,-0.601894413,0.088118799,-0.24598217
2018,8,25,2,1.097163389,1.313389212,0.511154358,-0.710036779,-1.168528864,-0.927128315
2015,5,13,0,-0.060951849,0.064089987,0.264840625,2.101664742,-1.302214785,-1.222625732
2014,12,19,22,-1.006893303,-0.905515381,0.264840625,-0.601894413,0.497098692,0.134180069
2014,2,14,1,-1.36935685,-1.278440522,0.264840625,-1.358890977,-0.354530141,-0.711359501
2018,1,7,18,-1.440081445,-1.558134379,-0.474100575,0.912098714,1.2794089,1.065084934
2018,7,1,5,1.353540044,1.70496061,0.880624958,-0.818179146,-0.475342604,0.237533569
2019,9,2,21,0.911511328,1.201511669,0.757468091,-0.710036779,-0.573378946,-0.092679501
2019,7,23,9,1.132525686,0.903171556,-0.781992742,-1.467033343,0.962523753,0.469507217
2019,1,16,18,-1.51080604,-1.847151363,-1.151463341,1.02024108,1.355659389,1.057187557
2014,8,6,10,1.256293727,0.716708985,-1.459355508,-0.061182582,1.234846926,0.565326691
2018,8,10,13,1.34469947,0.921817813,-1.213041775,0.15510215,1.756717153,0.834157944
2015,4,12,14,0.717018692,-0.215603869,-2.198296708,0.912098714,-0.832828661,-0.16644907
2018,7,15,15,1.87513393,1.565113682,-0.905149608,-0.601894413,2.261752857,2.307079315
2018,10,8,16,0.425279739,0.903171556,1.557987724,-1.034463878,-0.683298482,0.109731674
